time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731407943195890189,20.625,1731407943114900743,20.687,1731407943154799415,20.562,1731407943195459453,20.656,False,False,3.0,1.2615373134613037
1731407946235182202,20.687,1731407946194781027,20.687,1731407946234830388,20.562,1731407946155608046,20.687,False,False,3.0,1.299060344696045
1731407949325846179,20.687,1731407949325421683,20.687,1731407949194907156,20.562,1731407949274682824,20.687,False,False,3.0,1.3892717361450195
1731407952195138723,20.687,1731407952074882376,20.687,1731407952154876796,20.562,1731407952194766039,20.687,False,False,3.0,1.2584741115570068
1731407955235266224,20.625,1731407955114881554,20.687,1731407955234789990,20.562,1731407955194824295,20.656,False,False,3.0,1.2968063354492188
1731407958195355572,20.687,1731407958074912241,20.687,1731407958194884670,20.562,1731407958154857560,20.687,False,False,3.0,1.2560474872589111
1731407961195204110,20.687,1731407961114874437,20.687,1731407961154800026,20.562,1731407961194788483,20.687,False,False,3.0,1.2541038990020752
1731407964275240793,20.687,1731407964234813700,20.687,1731407964155583503,20.625,1731407964274830907,20.687,False,False,3.0,1.3326544761657715
1731407967205283382,20.687,1731407967154770353,20.687,1731407967114859036,20.625,1731407967204841313,20.687,False,False,3.0,1.262202501296997
1731407970235356375,20.687,1731407970194770879,20.687,1731407970154896476,20.625,1731407970234749776,20.687,False,False,3.0,1.2915058135986328
1731407973195253515,20.687,1731407973154956049,20.687,1731407973114894219,20.625,1731407973194840147,20.687,False,False,3.0,1.2496461868286133
1731407976245140166,20.687,1731407976194881989,20.687,1731407976154924087,20.625,1731407976244733427,20.687,False,False,3.0,1.2977163791656494
1731407979195391615,20.687,1731407979114886357,20.687,1731407979154886582,20.625,1731407979194966655,20.687,False,False,3.0,1.2462260723114014
1731407982195260799,20.687,1731407982074865129,20.687,1731407982154990521,20.625,1731407982194837931,20.687,False,False,3.0,1.2451646327972412
1731407985195279440,20.687,1731407985154775978,20.75,1731407985114885226,20.625,1731407985194835462,20.7185,False,False,3.0,1.2446391582489014
1731407988235169083,20.75,1731407988194767920,20.75,1731407988154897397,20.625,1731407988234818285,20.75,False,False,3.0,1.282724380493164
1731407991205244535,20.75,1731407991114911213,20.75,1731407991164788568,20.625,1731407991204847184,20.75,False,False,3.0,1.2510292530059814
1731407994235271647,20.75,1731407994194809170,20.75,1731407994154975606,20.625,1731407994234855797,20.75,False,False,3.0,1.27925443649292
1731407997245109299,20.687,1731407997244694560,20.75,1731407997114885507,20.625,1731407997194980802,20.7185,False,False,3.0,1.2873003482818604
1731408000235278594,20.75,1731408000234834449,20.75,1731408000195402401,20.625,1731408000155673589,20.75,False,False,3.0,1.2757279872894287
1731408003205251556,20.75,1731408003114967361,20.75,1731408003204788226,20.625,1731408003154763661,20.75,True,True,3.0,1.2439250946044922
1731408006245182519,20.75,1731408006244763039,20.812,1731408006154993574,20.625,1731408006204848938,20.781,True,True,3.0,1.2837185859680176
1731408009325072446,20.812,1731408009194894704,20.875,1731408009324697890,20.625,1731408009274953952,20.8435,True,True,3.0,1.3633344173431396
1731408012245328056,20.875,1731408012204897108,20.937,1731408012244769971,20.625,1731408012155620450,20.906,True,True,3.0,1.2819085121154785
1731408015245291591,20.937,1731408015114918478,21.062,1731408015244884647,20.562,1731408015204781488,20.9995,True,True,3.0,1.2811121940612793
1731408018205388268,21.062,1731408018074870981,21.187,1731408018204922438,20.625,1731408018164913135,21.1245,True,True,3.0,1.2394826412200928
1731408021195422788,21.187,1731408021154911794,21.375,1731408021114947683,20.562,1731408021194943347,21.281,True,True,3.0,1.2288305759429932
1731408024235170357,21.312,1731408024154887316,21.5,1731408024195922776,20.562,1731408024234768191,21.406,True,True,3.0,1.2667601108551025
1731408027195641667,21.5,1731408027114773689,21.75,1731408027154677656,20.562,1731408027195273776,21.625,True,True,3.0,1.227055549621582
1731408030236267516,21.687,1731408030194873626,21.937,1731408030154883171,20.562,1731408030235697912,21.812,True,True,3.0,1.2675087451934814
1731408033275240391,21.812,1731408033235394976,22.125,1731408033274790375,20.562,1731408033194916108,21.9685,True,True,3.0,1.3046977519989014
1731408036195153044,22.062,1731408036075643398,22.375,1731408036154800697,20.562,1731408036194710341,22.2185,True,True,3.0,1.224524974822998
1731408039235175450,22.25,1731408039234756913,22.687,1731408039114891922,20.562,1731408039195529988,22.4685,True,True,3.0,1.2627334594726562
1731408042285120106,22.5,1731408042154964161,22.937,1731408042244799369,20.562,1731408042284755752,22.7185,True,True,3.0,1.3109464645385742
1731408045235125683,22.75,1731408045114996203,23.312,1731408045194890877,20.562,1731408045234756385,23.031,True,True,3.0,1.260542631149292
1731408048275288752,23.0,1731408048154874812,23.562,1731408048234871686,20.562,1731408048274762980,23.281,True,True,3.0,1.2988946437835693
1731408051235952108,23.25,1731408051114872540,23.562,1731408051194901412,20.562,1731408051235564070,23.406,True,True,3.0,1.2577836513519287
1731408054235308324,23.562,1731408054196348507,24.25,1731408054234815864,20.562,1731408054154896005,23.906,True,True,3.0,1.2567052841186523
1731408057235248243,23.875,1731408057114971620,24.562,1731408057234815040,20.562,1731408057194794076,24.2185,True,True,3.0,1.2563586235046387
1731408060235169390,24.187,1731408060194773618,24.937,1731408060154931026,20.562,1731408060234712632,24.562,True,True,3.0,1.2544922828674316
1731408063275187368,24.5,1731408063194909210,25.25,1731408063234770106,20.562,1731408063274769349,24.875,True,True,3.0,1.2927227020263672
1731408066236695533,24.75,1731408066236314605,25.562,1731408066155728961,20.562,1731408066194951505,25.156,True,True,3.0,1.2524971961975098
1731408069315038535,25.125,1731408069194607994,26.0,1731408069314681976,20.562,1731408069275496440,25.5625,True,True,3.0,1.3290314674377441
1731408072285298149,25.437,1731408072154890472,26.312,1731408072284789560,20.562,1731408072235592351,25.8745,True,True,3.0,1.2975702285766602
1731408075235173880,25.75,1731408075194805155,26.687,1731408075114907594,20.562,1731408075234743065,26.2185,True,True,3.0,1.2471263408660889
1731408078237311948,26.125,1731408078154931808,27.125,1731408078194846580,20.562,1731408078235503043,26.625,True,True,3.0,1.2475411891937256
1731408081236101042,26.437,1731408081194693157,27.5,1731408081114884798,20.562,1731408081235704429,26.9685,True,True,3.0,1.244539737701416
1731408084235171688,26.812,1731408084194899654,27.937,1731408084154899368,20.562,1731408084234770779,27.3745,True,True,3.0,1.2417984008789062
1731408087235331017,27.187,1731408087114910965,28.312,1731408087234873851,20.562,1731408087194854853,27.7495,True,True,3.0,1.2400131225585938
1731408090235748059,27.625,1731408090154964096,28.687,1731408090235385778,20.562,1731408090194727520,28.156,True,True,3.0,1.2386062145233154
1731408093275093493,28.0,1731408093194944986,29.125,1731408093234632478,20.562,1731408093274670585,28.5625,True,True,3.0,1.2761552333831787
