time,plant_time,heater_on,fan_on,lower_bound,upper_bound,t_heater,ubound_h,lbound_h
1731091205716047000,1731091205676798064,False,True,36.5,37.75,49.89424492618579,49.47162570463511,49.16947570288085
1731091208788953000,1731091208687049519,False,True,36.5,37.75,49.760505160036715,49.47162570463511,49.16947570288085
1731091211759339000,1731091211676920079,False,True,36.5,37.75,49.63168575538384,49.47162570463511,49.16947570288085
1731091214725127000,1731091214686925131,False,True,36.5,37.75,49.50405836439113,49.47162570463511,49.16947570288085
1731091217695638000,1731091217676773532,False,True,36.5,37.75,49.374138851749976,49.47162570463511,49.16947570288085
1731091220767519000,1731091220676878460,False,True,36.5,37.75,49.242865689363946,49.47162570463511,49.16947570288085
1731091223828771000,1731091223716952380,True,True,36.5,37.75,49.11105013448848,49.47162570463511,49.16947570288085
1731091226903465000,1731091226716861608,True,True,36.5,37.75,48.979390838118775,49.47162570463511,49.16947570288085
1731091229777502000,1731091229676699564,False,True,36.5,37.75,50.02422785309136,49.47162570463511,49.16947570288085
1731091232683064000,1731091232676877640,False,True,36.5,37.75,51.04762916501715,49.47162570463511,49.16947570288085
1731091235717958000,1731091235676740307,False,True,36.5,37.75,50.876079487292905,49.47162570463511,49.16947570288085
1731091238790554000,1731091238676894792,False,True,36.5,37.75,50.70214635591831,49.47162570463511,49.16947570288085
1731091241761723000,1731091241727007046,False,True,36.5,37.75,50.53108977032233,49.47162570463511,49.16947570288085
1731091244683102000,1731091244676863234,False,True,36.5,37.75,50.35531351843312,49.47162570463511,49.16947570288085
1731091247723326000,1731091247716854469,False,True,36.5,37.75,50.184227782154494,49.47162570463511,49.16947570288085
1731091250771206000,1731091250716891784,False,True,36.5,37.75,50.018261078808074,49.47162570463511,49.16947570288085
1731091253842841000,1731091253796922949,False,True,36.5,37.75,49.85359457692587,49.47162570463511,49.16947570288085
1731091256915242000,1731091256716796673,False,True,36.5,37.75,49.690818392720885,49.47162570463511,49.16947570288085
1731091259884067000,1731091259716977333,False,True,36.5,37.75,49.53446539128655,49.47162570463511,49.16947570288085
1731091262853786000,1731091262836875548,False,True,36.5,37.75,49.37652429942026,49.47162570463511,49.16947570288085
1731091265828028000,1731091265717017841,False,True,36.5,37.75,49.21773984847948,49.47162570463511,49.16947570288085
1731091268722813000,1731091268716970083,True,True,36.5,37.75,49.0627873539007,49.47162570463511,49.16947570288085
1731091271863800000,1731091271757054571,True,True,36.5,37.75,48.907765436886876,49.47162570463511,49.16947570288085
1731091274785259000,1731091274716727613,False,True,36.5,37.75,49.928959988689044,49.47162570463511,49.16947570288085
1731091278111468000,1731091277716799825,False,True,36.5,37.75,50.932478702834295,49.47162570463511,49.16947570288085
1731091280773656000,1731091280717015910,False,True,36.5,37.75,50.74031405835488,49.47162570463511,49.16947570288085
1731091283844234000,1731091283727713735,False,True,36.5,37.75,50.553149898495334,49.47162570463511,49.16947570288085
1731091286821029000,1731091286716989753,False,True,36.5,37.75,50.36729386284327,49.47162570463511,49.16947570288085
1731091289721688000,1731091289716932476,False,True,36.5,37.75,50.18343176009017,49.47162570463511,49.16947570288085
1731091292756105000,1731091292716658124,False,True,36.5,37.75,50.00214518222133,49.47162570463511,49.16947570288085
1731091295734115000,1731091295716820407,False,True,36.5,37.75,49.82392325043964,49.47162570463511,49.16947570288085
1731091298734335000,1731091298717088964,False,True,36.5,37.75,49.64917315507698,49.47162570463511,49.16947570288085
1731091301761438000,1731091301756966362,False,True,36.5,37.75,49.48647838185819,49.51788424412764,49.216387584297415
1731091304805328000,1731091304716919017,False,True,36.5,37.75,49.31900243910554,49.47162570463511,49.16947570288085
1731091307806270000,1731091307716904451,True,True,36.5,37.75,49.15586664842847,49.47162570463511,49.16947570288085
1731091310880106000,1731091310797443060,True,True,36.5,37.75,48.997231631702384,49.47162570463511,49.16947570288085
1731091313773954000,1731091313757120251,False,True,36.5,37.75,50.018990272172594,49.47162570463511,49.16947570288085
1731091316818652000,1731091316717497056,False,True,36.5,37.75,51.01877607092863,49.47162570463511,49.16947570288085
1731091319800817000,1731091319797073594,False,True,36.5,37.75,50.82299889670677,49.47162570463511,49.16947570288085
1731091322871740000,1731091322757617136,False,True,36.5,37.75,50.628250254448844,49.47162570463511,49.16947570288085
1731091325830530000,1731091325717136405,False,True,36.5,37.75,50.43931653507297,49.47162570463511,49.16947570288085
1731091328801527000,1731091328756925226,False,True,36.5,37.75,50.25246664535552,49.47162570463511,49.16947570288085
1731091331972358000,1731091331727309726,False,True,36.5,37.75,50.06828305772324,49.47162570463511,49.16947570288085
1731091334736464000,1731091334717000064,False,True,36.5,37.75,49.887255417869845,49.47162570463511,49.16947570288085
1731091337817811000,1731091337726700499,False,True,36.5,37.75,49.71381199702504,49.47162570463511,49.16947570288085
1731091340772048000,1731091340757039350,False,True,36.5,37.75,49.53988504345836,49.47162570463511,49.16947570288085
1731091343852119000,1731091343756658787,False,True,36.5,37.75,49.37015886101605,49.47162570463511,49.16947570288085
1731091346820303000,1731091346756816492,False,True,36.5,37.75,49.20075849334513,49.47162570463511,49.16947570288085
1731091349789352000,1731091349757044181,True,True,36.5,37.75,49.03227613968131,49.47162570463511,49.16947570288085
1731091352866869000,1731091352756973421,True,True,36.5,37.75,48.86917710108125,49.47162570463511,49.16947570288085
1731091355770348000,1731091355757546154,False,True,36.5,37.75,49.88725496353555,49.47162570463511,49.16947570288085
1731091358769880000,1731091358757010496,False,True,36.5,37.75,50.88807540868526,49.47162570463511,49.16947570288085
1731091361873306000,1731091361756883573,False,True,36.5,37.75,50.689498004536595,49.47162570463511,49.16947570288085
1731091364804594000,1731091364756721564,False,True,36.5,37.75,50.49660994926972,49.47162570463511,49.16947570288085
1731091367811042000,1731091367806711324,False,True,36.5,37.75,50.305655443983284,49.47162570463511,49.16947570288085
1731091370772309000,1731091370756938011,False,True,36.5,37.75,50.121478910683635,49.51788424412764,49.216387584297415
1731091373855032000,1731091373756903288,False,True,36.5,37.75,49.93999668764947,49.47162570463511,49.16947570288085
1731091376824489000,1731091376756980830,False,True,36.5,37.75,49.761681863381085,49.47162570463511,49.16947570288085
1731091379895583000,1731091379797176191,False,True,36.5,37.75,49.590947671696476,49.47162570463511,49.16947570288085
1731091382855628000,1731091382757651890,False,True,36.5,37.75,49.423735822413434,49.47162570463511,49.16947570288085
1731091385842314000,1731091385756750491,False,True,36.5,37.75,49.2604759209254,49.51788424412764,49.216387584297415
1731091388907649000,1731091388796958650,True,True,36.5,37.75,49.097225446852725,49.47162570463511,49.16947570288085
1731091391775646000,1731091391756942772,True,True,36.5,37.75,48.93460244901079,49.51788424412764,49.216387584297415
1731091394806907000,1731091394756377540,False,True,36.5,37.75,49.95278618418481,49.47162570463511,49.16947570288085
1731091397816476000,1731091397756940106,False,True,36.5,37.75,50.949445481140515,49.51788424412764,49.216387584297415
1731091400785453000,1731091400756963819,False,True,36.5,37.75,50.755086431205584,49.51788424412764,49.216387584297415
1731091403860654000,1731091403837262597,False,True,36.5,37.75,50.56166077619474,49.47162570463511,49.16947570288085
1731091406827935000,1731091406756871401,False,True,36.5,37.75,50.374162127579254,49.51788424412764,49.216387584297415
1731091409782364000,1731091409757051419,False,True,36.5,37.75,50.188639901392385,49.47162570463511,49.16947570288085
1731091412869575000,1731091412756891935,False,True,36.5,37.75,50.00582217599527,49.51788424412764,49.216387584297415
1731091415844379000,1731091415797030502,False,True,36.5,37.75,49.82210199219262,49.51788424412764,49.216387584297415
1731091418810416000,1731091418756879214,False,True,36.5,37.75,49.64641232478181,49.51788424412764,49.216387584297415
1731091421778610000,1731091421756654798,False,True,36.5,37.75,49.474529822120964,49.51788424412764,49.216387584297415
1731091424831383000,1731091424806886448,False,True,36.5,37.75,49.30671841285009,49.47162570463511,49.16947570288085
1731091427921754000,1731091427836983091,True,True,36.5,37.75,49.143273376949104,49.51788424412764,49.216387584297415
1731091430825399000,1731091430806830822,True,True,36.5,37.75,48.98026836008375,49.51788424412764,49.216387584297415
1731091433862881000,1731091433797812473,False,True,36.5,37.75,50.002132216765155,49.51788424412764,49.216387584297415
1731091436831398000,1731091436797025299,False,True,36.5,37.75,51.00603559564108,49.51788424412764,49.216387584297415
1731091439903079000,1731091439796967521,False,True,36.5,37.75,50.81400574902829,49.51788424412764,49.216387584297415
1731091442812471000,1731091442796735257,False,True,36.5,37.75,50.62266728229955,49.51788424412764,49.216387584297415
1731091445842250000,1731091445796880392,False,True,36.5,37.75,50.43281542090148,49.51788424412764,49.216387584297415
1731091448861874000,1731091448836737200,False,True,36.5,37.75,50.2451287736723,49.51788424412764,49.216387584297415
1731091451885306000,1731091451807035805,False,True,36.5,37.75,50.068222152855896,49.51788424412764,49.216387584297415
1731091454781051000,1731091454766257552,False,True,36.5,37.75,49.88979787189262,49.51788424412764,49.216387584297415
1731091457825307000,1731091457796810740,False,True,36.5,37.75,49.71456565254247,49.47162570463511,49.16947570288085
1731091460785152000,1731091460756929277,False,True,36.5,37.75,49.543037974738795,49.51788424412764,49.216387584297415
1731091463864778000,1731091463796894127,False,True,36.5,37.75,49.37550220528312,49.51788424412764,49.216387584297415
1731091466833328000,1731091466796591909,True,True,36.5,37.75,49.21218749012384,49.51788424412764,49.216387584297415
1731091469821348000,1731091469796925282,True,True,36.5,37.75,49.05313454225366,49.47162570463511,49.16947570288085
