time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731602158881370234,37.562,1731602158880982242,38.437,1731602158760989570,20.5,1731602158840972548,37.9995,False,True,3.0,1.262895107269287
1731602161881048360,37.562,1731602161880680276,38.437,1731602161841281449,20.437,1731602161801043303,37.9995,False,True,3.0,1.260772466659546
1731602164881287298,37.562,1731602164840840126,38.437,1731602164760967327,20.437,1731602164880851231,37.9995,False,True,3.0,1.259225606918335
1731602167891083343,37.562,1731602167850912009,38.437,1731602167800952543,20.437,1731602167890693981,37.9995,True,True,3.0,1.2672083377838135
1731602170881593629,37.562,1731602170760956821,38.437,1731602170880897925,20.437,1731602170841529351,37.9995,False,True,3.0,1.2559382915496826
1731602173881032686,37.625,1731602173880664046,38.437,1731602173841475123,20.437,1731602173800975165,38.031,False,True,3.0,1.2535686492919922
1731602176881355778,37.562,1731602176760924314,38.437,1731602176880778744,20.437,1731602176840810538,37.9995,False,True,3.0,1.2520930767059326
1731602179971241332,37.562,1731602179920822491,38.437,1731602179880938193,20.437,1731602179970792283,37.9995,False,True,3.0,1.340149164199829
1731602182881032797,37.562,1731602182760916848,38.437,1731602182880649768,20.5,1731602182842409180,37.9995,False,True,3.0,1.2498397827148438
1731602185881270356,37.562,1731602185800946126,38.375,1731602185880887753,20.437,1731602185840803020,37.9685,True,True,3.0,1.2482664585113525
1731602188881197577,37.562,1731602188760926075,38.437,1731602188840993228,20.437,1731602188880811030,37.9995,False,True,3.0,1.247316837310791
1731602192081167089,37.562,1731602191971080616,38.437,1731602192040723527,20.437,1731602192080739411,37.9995,False,True,3.0,1.4462730884552002
1731602194890680233,37.625,1731602194760678806,38.437,1731602194850466731,20.437,1731602194890455986,38.031,False,True,3.0,1.2541568279266357
1731602197881080217,37.625,1731602197840921473,38.437,1731602197800946735,20.437,1731602197880656872,38.031,False,True,3.0,1.2427730560302734
1731602200881475618,37.625,1731602200761110126,38.437,1731602200880936529,20.437,1731602200840750894,38.031,False,True,3.0,1.2413740158081055
1731602203931241125,37.562,1731602203800977709,38.437,1731602203930822447,20.437,1731602203881030492,37.9995,True,True,3.0,1.2893238067626953
1731602206931106393,37.562,1731602206841026757,38.437,1731602206930749531,20.437,1731602206890929070,37.9995,False,True,3.0,1.287377119064331
1731602209881320735,37.562,1731602209841049944,38.437,1731602209800915027,20.437,1731602209880902927,37.9995,False,True,3.0,1.2363958358764648
1731602212881185057,37.562,1731602212760977066,38.437,1731602212880752768,20.437,1731602212840823058,37.9995,False,True,3.0,1.236034631729126
1731602215921162123,37.562,1731602215800952644,38.437,1731602215880951219,20.437,1731602215920795131,37.9995,False,True,3.0,1.2741858959197998
1731602218921349692,37.625,1731602218840944270,38.437,1731602218881463666,20.5,1731602218920879975,38.031,False,True,3.0,1.2725985050201416
1731602221921194794,37.562,1731602221810951284,38.437,1731602221880802659,20.437,1731602221920741374,37.9995,True,True,3.0,1.2721381187438965
1731602224921077492,37.562,1731602224880814322,38.437,1731602224841031739,20.437,1731602224920680629,37.9995,False,True,3.0,1.2702414989471436
1731602227921380833,37.625,1731602227800900566,38.437,1731602227920934024,20.437,1731602227880873358,38.031,False,True,3.0,1.2702367305755615
1731602230921386406,37.625,1731602230920980394,38.437,1731602230840942283,20.437,1731602230880928819,38.031,False,True,3.0,1.2697105407714844
1731602233921401829,37.625,1731602233800939275,38.437,1731602233880981797,20.437,1731602233920795979,38.031,False,True,3.0,1.2679405212402344
1731602236941322137,37.625,1731602236840920099,38.437,1731602236880870305,20.5,1731602236940917718,38.031,False,True,3.0,1.286072015762329
1731602239921419312,37.625,1731602239800961008,38.437,1731602239920977189,20.437,1731602239880857366,38.031,True,True,3.0,1.2644028663635254
1731602242921158066,37.625,1731602242841784164,38.437,1731602242881027686,20.5,1731602242920726591,38.031,False,True,3.0,1.2623286247253418
