time,plant_time,heater_on,fan_on,lower_bound,upper_bound,t_heater,ubound_h,lbound_h
1731087360722487000,1731087360597110490,True,True,35.0,40.0,22.137352928026136,53.5868893938502,46.702486085909136
1731087363734544000,1731087363636770612,True,True,35.0,40.0,23.271109235454833,53.5868893938502,46.702486085909136
1731087366690352000,1731087366597001454,True,True,35.0,40.0,24.38732993129894,53.5868893938502,46.702486085909136
1731087369736373000,1731087369556839839,True,True,35.0,40.0,25.47750671581335,53.5868893938502,46.702486085909136
1731087372807978000,1731087372676897794,True,True,35.0,40.0,26.541697250696284,53.5868893938502,46.702486085909136
1731087375687002000,1731087375556981969,True,True,35.0,40.0,27.588850058883903,53.5868893938502,46.702486085909136
1731087378719628000,1731087378596903596,True,True,35.0,40.0,28.61212811708915,53.5868893938502,46.702486085909136
1731087381715879000,1731087381566796937,True,True,35.0,40.0,29.608944990263712,53.5868893938502,46.702486085909136
1731087384644834000,1731087384556962426,True,True,35.0,40.0,30.582254188991165,53.5868893938502,46.702486085909136
1731087387756826000,1731087387596958695,True,True,35.0,40.0,31.53553836897726,53.5868893938502,46.702486085909136
1731087390685991000,1731087390596862984,True,True,35.0,40.0,32.47832484746304,53.5868893938502,46.702486085909136
1731087393686286000,1731087393596993663,True,True,35.0,40.0,33.40315331932509,53.5868893938502,46.702486085909136
1731087396770308000,1731087396607720636,True,True,35.0,40.0,34.314654938233716,53.5868893938502,46.702486085909136
1731087399742459000,1731087399596953995,True,True,35.0,40.0,35.22306680635896,53.5868893938502,46.702486085909136
1731087402708998000,1731087402607439309,True,True,35.0,40.0,36.12056490014671,53.5868893938502,46.702486085909136
1731087405686522000,1731087405597157805,True,True,35.0,40.0,37.0118282210598,53.5868893938502,46.702486085909136
1731087408750397000,1731087408596862965,True,True,35.0,40.0,37.90097505586669,53.5868893938502,46.702486085909136
1731087411721770000,1731087411566961406,True,True,35.0,40.0,38.780405777169136,53.5868893938502,46.702486085909136
1731087414765551000,1731087414607005632,True,True,35.0,40.0,39.660632758498004,53.5868893938502,46.702486085909136
1731087417658607000,1731087417556819399,True,True,35.0,40.0,40.52804540752753,53.5868893938502,46.702486085909136
1731087420719860000,1731087420596930638,True,True,35.0,40.0,41.393499071030405,53.5868893938502,46.702486085909136
1731087423700802000,1731087423596932382,True,True,35.0,40.0,42.24994226023216,53.5868893938502,46.702486085909136
1731087426805469000,1731087426676895362,True,True,35.0,40.0,43.107490374030505,53.5868893938502,46.702486085909136
1731087429744218000,1731087429597687000,True,True,35.0,40.0,43.953663096283314,53.5868893938502,46.702486085909136
1731087432714480000,1731087432596919369,True,True,35.0,40.0,44.79882334134171,53.5868893938502,46.702486085909136
1731087435684737000,1731087435596811087,True,True,35.0,40.0,45.63626185566142,53.5868893938502,46.702486085909136
1731087438686688000,1731087438596945101,True,True,35.0,40.0,46.46573994757403,53.633147933342734,46.74939796732569
1731087441826049000,1731087441636685272,True,True,35.0,40.0,47.291724958717076,53.5868893938502,46.702486085909136
1731087444766112000,1731087444636735671,True,True,35.0,40.0,48.11332886328076,53.5868893938502,46.702486085909136
1731087447764319000,1731087447596882590,True,True,35.0,40.0,48.934919944595144,53.633147933342734,46.74939796732569
1731087450734847000,1731087450596664710,True,True,35.0,40.0,49.755377322578376,53.633147933342734,46.74939796732569
1731087453686391000,1731087453597295744,True,True,35.0,40.0,50.56397488222866,53.633147933342734,46.74939796732569
1731087456779927000,1731087456636984065,True,True,35.0,40.0,51.36585810068867,53.633147933342734,46.74939796732569
1731087460154753000,1731087460047003417,True,True,35.0,40.0,52.170227060073856,53.633147933342734,46.74939796732569
1731087462714597000,1731087462596963464,True,True,35.0,40.0,52.957199544623535,53.633147933342734,46.74939796732569
1731087465779055000,1731087465636942291,False,True,35.0,40.0,53.73693493859772,53.5868893938502,46.702486085909136
1731087468756483000,1731087468597023193,False,True,35.0,40.0,53.334130624718284,53.5868893938502,46.702486085909136
1731087471830361000,1731087471647881167,False,True,35.0,40.0,52.94318094310249,53.633147933342734,46.74939796732569
1731087474767987000,1731087474636975851,False,True,35.0,40.0,52.56691009346,53.633147933342734,46.74939796732569
1731087478074992000,1731087477876889101,False,True,35.0,40.0,52.18970700098461,53.5868893938502,46.702486085909136
1731087480941064000,1731087480757042683,False,True,35.0,40.0,51.859755138446076,53.633147933342734,46.74939796732569
1731087483809613000,1731087483637101644,False,True,35.0,40.0,51.54033135101821,53.633147933342734,46.74939796732569
1731087486754258000,1731087486646974156,False,True,35.0,40.0,51.242360082423154,53.633147933342734,46.74939796732569
1731087489748464000,1731087489636966560,False,True,35.0,40.0,50.957928531675975,53.633147933342734,46.74939796732569
1731087492725105000,1731087492636947420,False,True,35.0,40.0,50.68423844832909,53.633147933342734,46.74939796732569
1731087495728490000,1731087495637049623,False,True,35.0,40.0,50.427211494585634,53.633147933342734,46.74939796732569
1731087498762006000,1731087498636976735,False,True,35.0,40.0,50.183259730235235,53.5868893938502,46.702486085909136
1731087501836805000,1731087501647513264,False,True,35.0,40.0,49.953617519268924,53.633147933342734,46.74939796732569
1731087504725144000,1731087504636979954,False,True,35.0,40.0,49.730516031391375,53.5868893938502,46.702486085909136
1731087507750285000,1731087507656928830,False,True,35.0,40.0,49.5113394996536,53.633147933342734,46.74939796732569
1731087510736458000,1731087510646880037,False,True,35.0,40.0,49.29777368186155,53.633147933342734,46.74939796732569
1731087513771969000,1731087513676893319,False,True,35.0,40.0,49.09517158518591,53.5868893938502,46.702486085909136
1731087516735397000,1731087516646722059,False,True,35.0,40.0,48.89185284478592,53.633147933342734,46.74939796732569
1731087519737223000,1731087519637028358,False,True,35.0,40.0,48.693763698718065,53.633147933342734,46.74939796732569
1731087522805109000,1731087522716991524,False,True,35.0,40.0,48.506177892408004,53.633147933342734,46.74939796732569
1731087525806521000,1731087525717093381,False,True,35.0,40.0,48.317134649345725,53.633147933342734,46.74939796732569
1731087528764891000,1731087528677051471,False,True,35.0,40.0,48.132215736218136,53.5868893938502,46.702486085909136
1731087531775512000,1731087531687092136,False,True,35.0,40.0,47.956612664981016,53.633147933342734,46.74939796732569
1731087534766164000,1731087534677017196,False,True,35.0,40.0,47.7864235652172,53.5868893938502,46.702486085909136
1731087537756332000,1731087537656903476,False,True,35.0,40.0,47.61432297248076,53.633147933342734,46.74939796732569
1731087540846791000,1731087540756907308,False,True,35.0,40.0,47.44962987861759,53.5868893938502,46.702486085909136
1731087544255108000,1731087543646834654,False,True,35.0,40.0,47.28866234622029,53.5868893938502,46.702486085909136
1731087546725569000,1731087546636739299,False,True,35.0,40.0,47.128027474953186,53.5868893938502,46.702486085909136
1731087549804913000,1731087549716935649,False,True,35.0,40.0,46.96859107032161,53.5868893938502,46.702486085909136
1731087552794896000,1731087552676955594,False,True,35.0,40.0,46.811152661892166,53.5868893938502,46.702486085909136
1731087555799568000,1731087555677056334,True,True,35.0,40.0,46.652474003401665,53.633147933342734,46.74939796732569
1731087558775070000,1731087558687628490,True,True,35.0,40.0,47.677316765041056,53.5868893938502,46.702486085909136
1731087561844921000,1731087561756553379,True,True,35.0,40.0,48.68312341209974,53.5868893938502,46.702486085909136
1731087564736573000,1731087564646861144,True,True,35.0,40.0,49.67215073274557,53.5868893938502,46.702486085909136
1731087567725536000,1731087567637020558,True,True,35.0,40.0,50.638420275070196,53.5868893938502,46.702486085909136
1731087570765779000,1731087570676772210,True,True,35.0,40.0,51.58084925300267,53.5868893938502,46.702486085909136
1731087573805538000,1731087573717303766,True,True,35.0,40.0,52.502594491634426,53.5868893938502,46.702486085909136
1731087576774733000,1731087576686859387,True,True,35.0,40.0,53.41078517442812,53.5868893938502,46.702486085909136
1731087579765067000,1731087579676891868,False,True,35.0,40.0,54.2998809769203,53.5868893938502,46.702486085909136
1731087582767835000,1731087582677437048,False,True,35.0,40.0,54.0013255632919,53.5868893938502,46.702486085909136
1731087585806669000,1731087585716991576,False,True,35.0,40.0,53.70827781903195,53.633147933342734,46.74939796732569
1731087588765290000,1731087588676948427,False,True,35.0,40.0,53.42206773044601,53.5868893938502,46.702486085909136
1731087591765140000,1731087591676692118,False,True,35.0,40.0,53.14394612818116,53.5868893938502,46.702486085909136
1731087594760812000,1731087594686749794,False,True,35.0,40.0,52.8750899676287,53.633147933342734,46.74939796732569
1731087597765657000,1731087597677295542,False,True,35.0,40.0,52.61210142253848,53.5868893938502,46.702486085909136
1731087601035897000,1731087600877082505,False,True,35.0,40.0,52.360131899451645,53.5868893938502,46.702486085909136
1731087603765214000,1731087603676738070,False,True,35.0,40.0,52.11566586853325,53.5868893938502,46.702486085909136
1731087606805943000,1731087606717156537,False,True,35.0,40.0,51.879452587474155,53.5868893938502,46.702486085909136
1731087609764954000,1731087609676835967,False,True,35.0,40.0,51.64800865918131,53.5868893938502,46.702486085909136
1731087612764968000,1731087612676956826,False,True,35.0,40.0,51.426208788996966,53.5868893938502,46.702486085909136
1731087615770585000,1731087615686786389,False,True,35.0,40.0,51.21037247039746,53.5868893938502,46.702486085909136
1731087618805618000,1731087618717701205,False,True,35.0,40.0,51.00533769340475,53.633147933342734,46.74939796732569
1731087621755331000,1731087621677054691,False,True,35.0,40.0,50.79887575525815,53.5868893938502,46.702486085909136
1731087624805949000,1731087624716754217,False,True,35.0,40.0,50.600192585718275,53.5868893938502,46.702486085909136
1731087627812792000,1731087627727425712,False,True,35.0,40.0,50.409695401455814,53.5868893938502,46.702486085909136
